Date,HDFCBANK.NS,AXISBANK.NS,ICICIBANK.NS
2022-02-17 00:00:00+00:00,1506.5,782.7999877929688,750.3499755859375
2022-02-18 00:00:00+00:00,1512.3499755859375,787.4000244140625,748.9000244140625
2022-02-21 00:00:00+00:00,1522.0999755859375,788.8499755859375,754.4500122070312
2022-02-22 00:00:00+00:00,1510.699951171875,779.1500244140625,751.2999877929688
2022-02-23 00:00:00+00:00,1500.9000244140625,777.2000122070312,744.5999755859375
2022-02-24 00:00:00+00:00,1419.4000244140625,730.2999877929688,707.4000244140625
2022-02-25 00:00:00+00:00,1456.0999755859375,758.0499877929688,730.0499877929688
2022-02-28 00:00:00+00:00,1426.25,742.4000244140625,742.7000122070312
2022-03-02 00:00:00+00:00,1374.25,750.25,714.8499755859375
2022-03-03 00:00:00+00:00,1371.0,737.6500244140625,698.2999877929688
2022-03-04 00:00:00+00:00,1366.5,715.0,688.0499877929688
2022-03-07 00:00:00+00:00,1324.800048828125,667.5499877929688,653.75
2022-03-08 00:00:00+00:00,1327.800048828125,670.4000244140625,665.0
2022-03-09 00:00:00+00:00,1371.1500244140625,674.2000122070312,667.4500122070312
2022-03-10 00:00:00+00:00,1392.699951171875,694.9500122070312,676.5999755859375
2022-03-11 00:00:00+00:00,1396.800048828125,690.8499755859375,677.9000244140625
2022-03-14 00:00:00+00:00,1442.550048828125,710.0499877929688,696.1500244140625
2022-03-15 00:00:00+00:00,1424.0,698.1500244140625,697.3499755859375
2022-03-16 00:00:00+00:00,1448.1500244140625,723.8499755859375,708.0
2022-03-17 00:00:00+00:00,1480.050048828125,739.25,720.0999755859375
2022-03-21 00:00:00+00:00,1486.5,725.9000244140625,710.75
2022-03-22 00:00:00+00:00,1494.1500244140625,731.4000244140625,718.2000122070312
2022-03-23 00:00:00+00:00,1479.25,726.75,718.2999877929688
2022-03-24 00:00:00+00:00,1442.6500244140625,722.25,704.2000122070312
2022-03-25 00:00:00+00:00,1430.9000244140625,721.25,699.25
2022-03-28 00:00:00+00:00,1432.800048828125,736.0,710.3499755859375
2022-03-29 00:00:00+00:00,1451.800048828125,737.7999877929688,715.2999877929688
2022-03-30 00:00:00+00:00,1476.949951171875,750.4500122070312,730.9000244140625
2022-03-31 00:00:00+00:00,1470.3499755859375,761.1500244140625,730.2999877929688
2022-04-01 00:00:00+00:00,1506.0,774.5499877929688,736.25
2022-04-04 00:00:00+00:00,1656.800048828125,784.0999755859375,746.5999755859375
2022-04-05 00:00:00+00:00,1608.25,783.0999755859375,741.7999877929688
2022-04-06 00:00:00+00:00,1550.8499755859375,773.7000122070312,741.5999755859375
2022-04-07 00:00:00+00:00,1516.75,792.0999755859375,748.5499877929688
2022-04-08 00:00:00+00:00,1514.6500244140625,794.9000244140625,754.2999877929688
2022-04-11 00:00:00+00:00,1496.1500244140625,786.0499877929688,759.5999755859375
2022-04-12 00:00:00+00:00,1493.5,798.4500122070312,763.8499755859375
2022-04-13 00:00:00+00:00,1464.949951171875,793.0499877929688,762.25
2022-04-18 00:00:00+00:00,1395.449951171875,798.8499755859375,757.7999877929688
2022-04-19 00:00:00+00:00,1342.199951171875,797.7999877929688,766.2999877929688
2022-04-20 00:00:00+00:00,1354.300048828125,794.7000122070312,755.5499877929688
2022-04-21 00:00:00+00:00,1374.3499755859375,801.7999877929688,762.3499755859375
2022-04-22 00:00:00+00:00,1355.5999755859375,780.5999755859375,747.6500244140625
2022-04-25 00:00:00+00:00,1365.75,780.7000122070312,752.2000122070312
2022-04-26 00:00:00+00:00,1372.050048828125,775.0,753.75
2022-04-27 00:00:00+00:00,1372.550048828125,765.9000244140625,736.7000122070312
2022-04-28 00:00:00+00:00,1371.3499755859375,779.7999877929688,747.1500244140625
2022-04-29 00:00:00+00:00,1384.5999755859375,728.5999755859375,743.2999877929688
2022-05-02 00:00:00+00:00,1403.699951171875,727.3499755859375,741.0
2022-05-04 00:00:00+00:00,1356.0,707.2000122070312,724.25
2022-05-05 00:00:00+00:00,1352.949951171875,702.3499755859375,728.7999877929688
2022-05-06 00:00:00+00:00,1317.5999755859375,673.4000244140625,719.25
2022-05-09 00:00:00+00:00,1319.8499755859375,663.7000122070312,710.3499755859375
2022-05-10 00:00:00+00:00,1341.050048828125,659.75,711.2999877929688
2022-05-11 00:00:00+00:00,1348.5999755859375,672.3499755859375,714.2000122070312
2022-05-12 00:00:00+00:00,1303.050048828125,649.6500244140625,695.7999877929688
2022-05-13 00:00:00+00:00,1291.3499755859375,635.9500122070312,677.3499755859375
2022-05-16 00:00:00+00:00,1305.0999755859375,638.9500122070312,683.0
2022-05-17 00:00:00+00:00,1314.0,654.9500122070312,710.0
2022-05-18 00:00:00+00:00,1313.9000244140625,659.4500122070312,707.3499755859375
2022-05-19 00:00:00+00:00,1287.050048828125,650.2000122070312,690.2999877929688
2022-05-20 00:00:00+00:00,1320.949951171875,673.0999755859375,709.5499877929688
2022-05-23 00:00:00+00:00,1304.0,675.3499755859375,711.0499877929688
2022-05-24 00:00:00+00:00,1318.949951171875,664.0499877929688,708.1500244140625
2022-05-25 00:00:00+00:00,1328.800048828125,665.0,713.3499755859375
2022-05-26 00:00:00+00:00,1366.699951171875,683.25,728.5
2022-05-27 00:00:00+00:00,1392.050048828125,688.2999877929688,739.7999877929688
2022-05-30 00:00:00+00:00,1401.550048828125,693.6500244140625,748.5
2022-05-31 00:00:00+00:00,1388.949951171875,685.2000122070312,752.8499755859375
2022-06-01 00:00:00+00:00,1394.8499755859375,686.0499877929688,752.6500244140625
